,_type,url,date,content,replyCount,retweetCount,likeCount,quoteCount,lang,hashtags,lat,lon,translated
8,snscrape.modules.twitter.Tweet,https://twitter.com/umesh_anush/status/1455981989559894018,2021-11-03 19:35:31+00:00,"@Nationlist01 @IndianOilcl Juhi,
Hindi is Your pride
Kannada is my pride

Hindi is for Hindians
Kannada is for Kannadigas

Force Hindi on Indians, you break India.

We #RejectHindi
#StopHindiImposition

@KirenRijiju @RijijuOffice @HomeMinistr2024",1,0,2,0,et,"['RejectHindi', 'StopHindiImposition']",12.731936,77.3305776,"@Nationlist01 @IndianOilcl Juhi,
Hindi is Your pride
Kannada is my pride

Hindi is for Hindians
Kannada is for Kannadigas

Force Hindi on Indians, you break India.

We #RejectHindi
#StopHindiImposition

@KirenRijiju @RijijuOffice @HomeMinistr2024"
9,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455980400493285378,2021-11-03 19:29:12+00:00,"काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

ही बिहारची प्रादेशिक भाषा हिंदी आम्हाला कळत नाही आहे.....
तुम्ही नक्की महाराष्ट्रातील मंत्री आहात की बिहारचे??
उगाच आमच्यावर हिंदी भाषा लादू नका.....

#StopHindiImposition https://t.co/AAILB0nM9B",0,1,6,0,mr,['StopHindiImposition'],15.606794,72.64293,"Didn't understand anything. Please tell the great ""nation"" language in Marathi !!!!!

We do not understand Hindi, the regional language of Bihar .....
Are you a minister of Maharashtra or Bihar ??
Don't impose Hindi language on us .....

#StopHindiImposition https://t.co/AAILB0nM9B"
10,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455980362736173060,2021-11-03 19:29:03+00:00,"@raosahebdanve काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

ही बिहारची प्रादेशिक भाषा हिंदी आम्हाला कळत नाही आहे.....
तुम्ही नक्की महाराष्ट्रातील मंत्री आहात की बिहारचे??
उगाच आमच्यावर हिंदी भाषा लादू नका.....

#StopHindiImposition",0,0,2,0,mr,['StopHindiImposition'],15.606794,72.64293,"osraosahebdanve I don't understand anything, please tell me the great ""nation"" language in Marathi !!!!!

We do not understand Hindi, the regional language of Bihar .....
Are you a minister of Maharashtra or Bihar ??
Don't impose Hindi language on us .....

#StopHindiImposition"
11,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455979654527930368,2021-11-03 19:26:15+00:00,"काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

भुसावळ महाराष्ट्रात आहे की बिहार मध्ये नेऊन ठेवला आहे??

#StopHindiImposition https://t.co/oSGy9QCcoJ",0,3,7,0,mr,['StopHindiImposition'],15.606794,72.64293,"Didn't understand anything. Please tell the great ""nation"" language in Marathi !!!!!

Is Bhusawal in Maharashtra or in Bihar ??

#StopHindiImposition https://t.co/oSGy9QCcoJ"
12,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455979578778738690,2021-11-03 19:25:57+00:00,"काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

भुसावळ महाराष्ट्रात आहे की बिहार मध्ये नेऊन ठेवला आहे??

#StopHindiImposition https://t.co/oSGy9QCcoJ",0,1,2,0,mr,['StopHindiImposition'],15.606794,72.64293,"Didn't understand anything. Please tell the great ""nation"" language in Marathi !!!!!

Is Bhusawal in Maharashtra or in Bihar ??

#StopHindiImposition https://t.co/oSGy9QCcoJ"
13,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455979493718331397,2021-11-03 19:25:36+00:00,"@rpfcr @RPF_INDIA @ShivajiIRTS काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

भुसावळ महाराष्ट्रात आहे की बिहार मध्ये नेऊन ठेवला आहे??

#StopHindiImposition",0,0,2,0,mr,['StopHindiImposition'],15.606794,72.64293,"rpfcr @RPF_INDIA ShivajiIRTS I don't understand, please tell me the great ""nation"" language in Marathi !!!!!

Is Bhusawal in Maharashtra or in Bihar ??

#StopHindiImposition"
27,snscrape.modules.twitter.Tweet,https://twitter.com/umesh_anush/status/1455957282580172801,2021-11-03 17:57:21+00:00,"@asliamitt @DilipKu54477385 @Naveenme061 @IndianOilcl Hi Amit,.

You write IAS,Banking exams,Railways,Postal &amp; ministry jobs,Defence jobs &amp; all of it in your language Hindi &amp; English.
The Irony is all non-Hindians also need to write in HINDI &amp; English.
Pls #StopHindiImposition

Is India for Hindi people? This will break India.",0,0,0,0,en,['StopHindiImposition'],12.731936,77.3305776,"@asliamitt @DilipKu54477385 @Naveenme061 @IndianOilcl Hi Amit,.

You write IAS,Banking exams,Railways,Postal & ministry jobs,Defence jobs & all of it in your language Hindi & English.
The Irony is all non-Hindians also need to write in HINDI & English.
Pls #StopHindiImposition

Is India for Hindi people? This will break India."
28,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455953175798714369,2021-11-03 17:41:02+00:00,"काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

आम्हाला बिहारची प्रादेशिक भाषा हिंदी कळत नाही आहे.....
कृपया आमच्यावर हिंदी भाषा लादू नका.....

#StopHindiImposition https://t.co/Ry5wm2LVbs",0,0,4,0,mr,['StopHindiImposition'],15.606794,72.64293,"Didn't understand anything. Please tell the great ""nation"" language in Marathi !!!!!

We do not understand Hindi, the regional language of Bihar .....
Please don't impose Hindi language on us .....

#StopHindiImposition https://t.co/Ry5wm2LVbs"
29,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455953125886414851,2021-11-03 17:40:50+00:00,"@satyajeettambe काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!

आम्हाला बिहारची प्रादेशिक भाषा हिंदी कळत नाही आहे.....
कृपया आमच्यावर हिंदी भाषा लादू नका.....

#StopHindiImposition",0,1,7,0,mr,['StopHindiImposition'],15.606794,72.64293,"atsatyajeettambe I don't understand anything, please tell me the great ""nation"" language in Marathi !!!!!

We do not understand Hindi, the regional language of Bihar .....
Please don't impose Hindi language on us .....

#StopHindiImposition"
31,snscrape.modules.twitter.Tweet,https://twitter.com/PednekarSujal/status/1455951382188412929,2021-11-03 17:33:54+00:00,"काहीच कळलं नाही कृपया महा ""राष्ट्र"" भाषा मराठीत सांगा !!!!!
 
आम्हाला बिहारची प्रादेशिक भाषा हिंदी कळत नाही आहे
कृपया आमच्यावर हिंदी भाषा लादू नका
🙏🙏

#StopHindiImposition https://t.co/zxMTV8phyS",0,1,4,0,mr,['StopHindiImposition'],15.606794,72.64293,"Didn't understand anything. Please tell the great ""nation"" language in Marathi !!!!!
 
We do not understand Hindi, the regional language of Bihar
Please don't impose Hindi language on us
3

#StopHindiImposition https://t.co/zxMTV8phyS"
